4;13;13;28
BIAISERA;RECHUTAIS;BAVERA;RATIFIEES;CALENDES;REFONDS;OURAGANS;FRETTER;REIMPORTERA;AUSTRALE;POLIRA;SONNANTS;TRAQUA;RAYA;LOT;PORTO;LESA;VA;IOULER;ABBE;MEFIE;MINAGE;AI;PAVER;ZEE;SUES;SKA;EH
S;E;R;E;I;M;P;O;R;T;E;R;A
R;N;B;F;A;C;A;L;E;N;D;E;S
P;E;A;B;I;T;A;Y;A;R;T;O;L
H;K;C;G;A;I;A;R;I;L;O;P;R
E;S;S;H;A;A;B;M;E;R;O;A;S
L;T;D;S;U;R;V;A;T;V;T;K;B
A;N;N;G;R;T;U;R;V;I;A;I;K
R;A;O;M;J;E;A;O;F;E;A;P;I
T;N;F;I;S;Q;T;I;O;I;R;O;E
S;N;E;N;U;R;E;T;S;Z;U;A;I
U;O;R;A;E;E;R;E;E;L;E;S;F
A;S;H;G;S;O;R;U;E;R;H;E;E
L;K;I;E;P;A;D;R;H;T;F;L;M
